tgl_inputer,kd_faktur,kd_rute,kd_customer,kd_barang,qty,satuan,no_lot,tgl_exp,upload_sts,data_sts,barang_sts,create_at
27/5/2025,B25006248,SBY,FARM02,"QBM P01",1,Pack,050125,1/3/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006249,KD-2,SUPR03,QGALL14,60,Btl,16143402,1/5/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006249,KD-2,SUPR03,QATON07,15,Btl,04110228525,1/4/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006250,JLS,FAJA22,QSPRA15,1,Pcs,0,1/1/1000,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006251,JUBS,TRET02,QGAPA01,20,Btl,193350,1/12/2025,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006251,JUBS,TRET02,QPARA07,20,Btl,113601A,1/4/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006252,BWI-2,AGRO14,QJAGU92,20,Pack,3399HBS18,7/12/2025,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006253,BWI-2,AGRO14,QMAGI01,220,Btl,MGX2505101007,1/5/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006254,JUBS,MAKM04,QBRAP01,3,Btl,140325F,1/3/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006254,JUBS,MAKM04,QMUL122,1,Roll,0,1/1/1000,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006255,BLI-2,SAHA18,QJAGU78,100,Pack,1CFB01D013,6/3/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006256,BLI-2,SAHA18,QNATI03,320,Pack,PI23000892,1/4/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006257,BLI-2,SAHA18,QUTHA01,1000,Pack,HUYMNZ8059,1/8/2025,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006258,JLS,SEDU03,QJAGU25,60,Pack,190133A,1/5/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006259,BWI-2,RISK07,QMANO01,40,Pack,0,1/5/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006260,BWI-1,AKBA01,QJAGU64,200,Pack,1240872,1/2/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006261,BWI-2,HARA06,QMELO14,5,Pack,237250106,5/11/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006262,P-2,SUMB47,QGAND01,2880,Pack,BN0542,1/1/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006262,P-2,SUMB47,QGAND02,600,Pack,1529,1/5/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006263,P-1,HIKM01,QAGRI07,80,Btl,JAK4J143XX,1/10/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006264,P-1,HIKM01,QJAGU70,100,Pack,253DKMAFDGEC039,14/11/2025,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006265,SBY,TANI155,QGAND03,720,Pack,BN5431,1/12/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006265,SBY,TANI155,QGAND01,720,Pack,BN0542,1/1/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006265,SBY,TANI155,QMANZ01,100,Pack,2CW5MZW066,1/4/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006266,JUBS,MAHK01,QTIMU29,5,Pack,271052570,20/11/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006266,JUBS,MAHK01,QTIMU29,35,Pack,271052574,21/11/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006267,PROB,SUMB05,QSCOR02,80,Btl,JAK4D26026,1/4/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006267,PROB,SUMB05,QSCOR03,100,Btl,JAK5C19020,1/3/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006268,JLS,WUKI01,QNPKC13,10,Zak,0,1/2/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006269,JUBS,RIND01,QMETA04,20,Btl,25021007,1/1/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006269,JUBS,RIND01,QMETA03,25,Btl,25041009,1/3/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006270,JUBS,RIND01,QTIMU04,6,Pack,2292008126,17/7/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006271,KD-1,BENI02,QABOJ01,30,Pack,ADV2340220125ST,1/1/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006271,KD-1,BENI02,QABOJ02,40,Pack,ADV2550070325SI,1/3/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006272,SBY,ADIT08,QUNIH01,100,Btl,20241015011,1/10/2027,1,1,1,"2025-05-27 12:00:06"
