tgl_transaksi,kd_faktur_lpb,kd_barang,nama_barang,exp_date,qty,lpb_note,input_at,lpb_status
7/2/2026,26000259,QAGUS01,"Agus 500 SC 100 X 100 ml*",1/1/2029,5000,SJ010362,14/03/2026,1
7/2/2026,26000260,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",1/12/2027,5800,SJ26010587,14/03/2026,1
7/2/2026,26000260,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",1/11/2027,6400,SJ26010587,14/03/2026,1
7/2/2026,26000260,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",1/11/2027,8000,SJ26010587,14/03/2026,1
7/2/2026,26000260,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",1/11/2027,8000,SJ26010587,14/03/2026,1
7/2/2026,26000260,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",1/11/2027,8000,SJ26010587,14/03/2026,1
7/2/2026,26000260,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",1/12/2027,20000,SJ26010587,14/03/2026,1
7/2/2026,26000260,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",1/11/2027,8000,SJ26010587,14/03/2026,1
7/2/2026,26000260,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",1/12/2027,20000,SJ26010587,14/03/2026,1
7/2/2026,26000261,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",1/12/2027,20000,SJ26010587,14/03/2026,1
7/2/2026,26000261,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",1/12/2027,10000,SJ26010587,14/03/2026,1
7/2/2026,26000261,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",1/12/2027,8400,SJ26010587,14/03/2026,1
7/2/2026,26000261,QMETS01,"Metsulindo Plus 80 WP 8 X 25 X 40 gr*",1/12/2027,14200,SJ26010587,14/03/2026,1
7/2/2026,26000262,QATAM01,"Atamit 20/25 WP 20 X 200 gr",1/8/2030,320,SI.2026.01.00854,14/03/2026,1
7/2/2026,26000262A,QATAM01,"Atamit 20/25 WP 20 X 200 gr",1/8/2030,280,SI.2026.01.00854,14/03/2026,1
7/2/2026,26000263,QMANZ01,"Manzate 82 WP 10 X 1 kg",1/1/2029,5000,8924839254,14/03/2026,1
7/2/2026,26000263A,QMANZ01,"Manzate 82 WP 10 X 1 kg",1/1/1000,5000,,14/03/2026,1
7/2/2026,26000264,QMANZ01,"Manzate 82 WP 10 X 1 kg",1/1/2029,3400,8924839254,14/03/2026,1
7/2/2026,26000265,QNPKN02,"NPK Novatec 12-12-17 25 kg*",1/2/2030,1400,802009843,14/03/2026,1
9/2/2026,26000266,QROUN01,"Round Up 486 SL 12 X 1 ltr",1/1/2031,12000,25/26-000816-03,14/03/2026,1
9/2/2026,26000267,QRIDO02,"Ridomil Gold 350 ES 4 X 20 X 12.5 ml",1/8/2027,2800,1810712986,14/03/2026,1
9/2/2026,26000268,QMATC01,"Match 50 EC 50 X 100 ml",1/6/2027,1250,1810700798,14/03/2026,1
9/2/2026,26000269,QALIK01,"Alika 247 ZC 100 X 50 ml",1/10/2027,10000,1810700807,14/03/2026,1
9/2/2026,26000269,QCURA02,"Curacron 500 EC 40 X 250 ml",1/1/2027,880,1810700807,14/03/2026,1
9/2/2026,26000270,QMATA04,"Matador 25 EC 40 X 250 ml",1/12/2027,2000,1810700810,14/03/2026,1
9/2/2026,26000270,QMATA02,"Matador 25 EC 100 X 50 ml",1/12/2027,7800,1810700810,14/03/2026,1
9/2/2026,26000270,QMATA02,"Matador 25 EC 100 X 50 ml",1/2/2028,2200,1810700810,14/03/2026,1
9/2/2026,26000271,QMATA03,"Matador 25 EC 100 X 80 ml",1/12/2027,200,1810700810,14/03/2026,1
