id;kd_do;kode_barang;kd_faktur;tgl_transaksi;nama_barang;expired_date;qty;qty_pcs;qty_box;no_lot;exp_date
174;KD174;QKALI01;B26008619;2026-07-04;Kaliandra 482 EC 20 X 400 ml;2031-06-01;200;0;10;20;2031-06-01
175;KD175;QMKP01;D26009882;2026-07-04;MKP 20 X 1 kg;2029-06-01;600;0;30;20;2029-06-01
176;KD176;QDECI02;D26009882;2026-07-04;Decis 25 EC 100 X 50 ml;2030-04-01;300;0;3;100;2030-04-01
177;KD177;QDECI01;D26009882;2026-07-04;Decis 25 EC 100 X 100 ml;2030-02-01;200;0;2;100;2030-02-01
178;KD178;QNATI03;D26009882;2026-07-04;Nativo 75 WG 16 X 20 X 12.5 gr;2029-02-01;320;0;1;320;2029-02-01
179;KD179;QGLUF04;D26009883;2026-07-04;Glufa 200 SL 4 X 5 ltr;2028-10-01;5;1;1;4;2028-10-01
180;KD180;QGLUF04;D26009883;2026-07-04;Glufa 200 SL 4 X 5 ltr;2028-10-01;35;3;8;4;2028-10-01
181;KD181;QGLUF03;D26009883;2026-07-04;Glufa 200 SL 20 X 1 ltr;2030-02-01;360;0;18;20;2030-02-01
182;KD182;QGLUF03;D26009883;2026-07-04;Glufa 200 SL 20 X 1 ltr;2030-03-01;420;0;21;20;2030-03-01
183;KD183;QGLUF03;D26009883;2026-07-04;Glufa 200 SL 20 X 1 ltr;2030-02-01;320;0;16;20;2030-02-01
184;KD184;QCURA02;D26009887;2026-07-04;Curacron 500 EC 40 X 250 ml;2027-06-01;200;0;5;40;2027-06-01
185;KD185;QGREE03;T26000727;2026-07-04;Greenforce 12 X 1 ltr;2031-05-01;36;0;3;12;2031-05-01
186;KD186;QGREE04;T26000727;2026-07-04;Greenforce 80 X 30 ml;2031-06-01;80;0;1;80;2031-06-01
187;KD187;QMITI06;T26000728;2026-07-04;Mitiside 40/240 SC 50 X 100 ml;2028-02-01;50;0;1;50;2028-02-01
188;KD188;QMITI07;T26000728;2026-07-04;Mitiside 40/240 SC 40 X 200 ml;2028-02-01;40;0;1;40;2028-02-01
189;KD189;QBMCO01;T26000728;2026-07-04;BM Conzole 250 EC 40 X 250 ml;2031-05-01;40;0;1;40;2031-05-01
190;KD190;QEVER02;T26000729;2026-07-04;Ever Green Asam Humat 20 X 1 ltr;2031-05-01;20;0;1;20;2031-05-01
191;KD191;QEVER02;T26000730;2026-07-04;Ever Green Asam Humat 20 X 1 ltr;2031-05-01;20;0;1;20;2031-05-01
192;KD192;QBEST07;T26000730;2026-07-04;Bestani OK 300 SL 20 X 1 ltr;2031-04-01;60;0;3;20;2031-04-01
193;KD193;QBIOC11;T26000730;2026-07-04;Biochems Vit B1+B6 40 X 250 ml;2030-12-01;40;0;1;40;2030-12-01
194;KD194;QBIOC10;T26000730;2026-07-04;Biochems Vit B1+B6 30 X 500 ml;2030-03-01;30;0;1;30;2030-03-01
195;KD195;QCHLO01;T26000731;2026-07-04;Chlordin 100/200 SC 50 X 100 ml;2031-02-01;100;0;2;50;2031-02-01
196;KD196;QCHLO02;T26000731;2026-07-04;Chlordin 100/200 SC 20 X 250 ml;2031-02-01;40;0;2;20;2031-02-01
197;KD197;QGAND04;Z26001842;2026-07-04;Gandasil D 24 X 500 gr;2029-05-01;408;0;17;24;2029-05-01
198;KD198;QGAND01;Z26001842;2026-07-04;Gandasil B 144 X 100 gr;2029-03-01;3744;0;26;144;2029-03-01
199;KD199;QGAND02;Z26001842;2026-07-04;Gandasil B 24 X 500 gr;2029-04-01;792;0;33;24;2029-04-01
200;KD200;QGAND03;Z26001842;2026-07-04;Gandasil D 144 X 100 gr;2029-04-01;1440;0;10;144;2029-04-01
201;KD201;QJAGU78;Z26001846;2026-07-04;Jagung DK 9209C 20 X 1 kg;2027-05-07;252;12;12;20;2027-05-07
202;KD202;QJAGU78;Z26001847;2026-07-04;Jagung DK 9209C 20 X 1 kg;2027-05-07;76;16;3;20;2027-05-07
203;KD203;QJAGU78;Z26001847;2026-07-04;Jagung DK 9209C 20 X 1 kg;2027-05-07;92;12;4;20;2027-05-07
204;KD204;QJAGU78;Z26001847;2026-07-04;Jagung DK 9209C 20 X 1 kg;2027-05-07;180;0;9;20;2027-05-07
205;KD205;QJAGU78;Z26001847;2026-07-04;Jagung DK 9209C 20 X 1 kg;2027-05-07;160;0;8;20;2027-05-07
206;KD206;QJAGU78;Z26001848;2026-07-04;Jagung DK 9209C 20 X 1 kg;2027-05-07;2;2;0;20;2027-05-07
207;KD207;QMATA04;Z26001853;2026-07-04;Matador 25 EC 40 X 250 ml;2028-01-01;40;0;1;40;2028-01-01
208;KD208;QMATA03;Z26001853;2026-07-04;Matador 25 EC 100 X 80 ml;2028-03-01;100;0;1;100;2028-03-01
209;KD209;QBION01;Z26001853;2026-07-04;Bion M 1/48 WP 20 X 500 gr;2028-03-01;40;0;2;20;2028-03-01
